episode,reward,average_reward,average_loss,epsilon,buffer_size,evaluation_reward
194,189.0,71.93,2.9396772722876263,0.37816180712868996,10042,
195,175.0,72.63,3.171665165594646,0.37627099809304654,10217,
196,123.0,73.74,3.179627337591435,0.3743896431025813,10340,
197,188.0,75.43,3.1238989717465766,0.37251769488706843,10528,
198,171.0,77.05,3.007964190683867,0.3706551064126331,10699,
199,58.0,76.38,2.4328888870518783,0.36880183088056995,10757,
200,30.0,75.96,2.8962645212809246,0.3669578217261671,10787,171.4
201,61.0,75.89,2.2947884507355143,0.36512303261753626,10848,
202,175.0,76.95,2.7391009407384055,0.3632974174544486,11023,
203,49.0,76.21,3.310631357893652,0.3614809303671764,11072,
204,81.0,75.49,2.664586724690449,0.3596735257153405,11153,
205,175.0,76.89,2.925160199403763,0.3578751580867638,11328,
206,32.0,76.21,2.720133190974593,0.35608578229633,11360,
207,112.0,76.69,3.1441742358729243,0.3543053533848483,11472,
208,17.0,76.52,2.918772371376262,0.35253382661792404,11489,
209,49.0,75.64,3.4662524352268296,0.3507711574848344,11538,
210,149.0,75.7,2.1163959828199155,0.34901730169741024,11687,
211,94.0,76.39,3.0351158196621753,0.3472722151889232,11781,
212,27.0,75.63,2.7104212641716003,0.3455358541129786,11808,
213,17.0,74.75,4.328553329495823,0.3438081748424137,11825,
214,128.0,74.94,2.171583204995841,0.3420891339682016,11953,
215,30.0,74.23,1.8470361749331157,0.3403786882983606,11983,
216,138.0,74.79,2.9320999032993247,0.3386767948568688,12121,
217,52.0,74.91,3.358319322650249,0.33698341088258443,12173,
218,18.0,74.75,2.779857011304961,0.3352984938281715,12191,
219,190.0,75.8,2.9161225362827903,0.33362200135903064,12381,
220,144.0,76.99,3.496858120792442,0.33195389135223546,12525,
221,108.0,77.88,3.411365848724489,0.3302941218954743,12633,
222,14.0,77.78,1.1801496871880122,0.32864265128599696,12647,
223,18.0,77.19,1.613103159599834,0.326999438029567,12665,
224,114.0,77.48,3.8332347987513793,0.3253644408394192,12779,
225,145.0,77.37,4.074145829266516,0.3237376186352221,12924,190.2
226,123.0,78.26,2.9399468169464327,0.322118930542046,13047,
227,13.0,76.91,2.6920039653778076,0.32050833588933575,13060,
228,11.0,75.79,3.8265284950082954,0.31890579420988907,13071,
229,15.0,74.89,3.010816049575806,0.3173112652388396,13086,
230,16.0,74.93,3.6885895878076553,0.3157247089126454,13102,
231,104.0,73.91,5.353236039670614,0.3141460853680822,13206,
232,113.0,74.23,2.514159390092951,0.3125753549412418,13319,
233,98.0,74.9,2.898460683926028,0.31101247816653554,13417,
234,44.0,73.81,3.592236180197109,0.30945741577570285,13461,
235,100.0,74.27,3.2703915774822234,0.3079101286968243,13561,
236,98.0,75.12,3.441057033076578,0.3063705780533402,13659,
237,94.0,74.98,2.7492113997961614,0.30483872516307353,13753,
238,111.0,75.17,3.2966145282393104,0.3033145315372582,13864,
239,102.0,76.05,3.8894901956413306,0.3017979588795719,13966,
240,24.0,76.19,2.70068226630489,0.30028896908517405,13990,
